mrph;fName;id;ref;PoS;cls;gD;lm;std;tx
3.pl.aor.;Bibelstellen;JH_20;Johannes 20.20 (As);vb.pf.;;sich freuen;възра́довати;въздра́довашѧ;въздрадовашѧ
$;Bibelstellen;JH_20;Johannes 20.20 (As);part.;$;δὲ;же;же;же
a.;Bibelstellen;JH_20;Johannes 20.20 (As);prn.;$;med.;сѧ;сѧ;сѧ
n.pl.;Bibelstellen;JH_20;Johannes 20.20 (As);sm.;;Schüler;оученикъ;оученици́;оученици
prc.prt.act.n.pl.m.;Bibelstellen;JH_20;Johannes 20.20 (As);vb.im.;a;sehen;видѣти;ви́дѣвъше;відѣвъше
a.sg.;Bibelstellen;JH_20;Johannes 20.20 (As);sm.;c;Herr;господь ;госпо́да ;г҃а҃, 
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.21 (As);vb.pf.;c;reden;рещи;ре́че;рече
$;Bibelstellen;JH_20;Johannes 20.21 (As);part.;$;δὲ;же;же;же
d.pl.m.;Bibelstellen;JH_20;Johannes 20.21 (As);prn.;$;er,sie,es;и;и́мъ;имъ
$;Bibelstellen;JH_20;Johannes 20.21 (As);adv.;$;wieder;пакꙑ;па́кꙑ;пакъи
a.sg.;Bibelstellen;JH_20;Johannes 20.21 (As);sm.;c;Friede;миръ;ми́ръ;міръ
d.pl.;Bibelstellen;JH_20;Johannes 20.21 (As);prn.;$;ihr;вꙑ;ва́мъ ;вамъ, 
$;Bibelstellen;JH_20;Johannes 20.21 (As);adv.;$;wie;ꙗко;ꙗ́ко;ѣко
$;Bibelstellen;JH_20;Johannes 20.21 (As);part.;$;же;же;же;же
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.21 (As);vb.pf.;b;schicken;посълати;посъла́;посъла
a.sg.;Bibelstellen;JH_20;Johannes 20.21 (As);prn.;$;ich;азъ;мѧ;мѧ
n.sg.;Bibelstellen;JH_20;Johannes 20.21 (As);sm.;b;Vater;отьць;оть́ць ;о҃ц҃ь, 
$;Bibelstellen;JH_20;Johannes 20.21 (As);prn.;$;und;и;и;и
n.sg.;Bibelstellen;JH_20;Johannes 20.21 (As);prn.;$;ich;азъ;а́зъ;азь
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.21 (As);vb.im.;c;schicken;сълати;съл҄ѭ́;сьлѭ
a.pl.;Bibelstellen;JH_20;Johannes 20.21 (As);prn.;$;ihr;вꙑ;вꙑ ;въи, 
$;Bibelstellen;JH_20;Johannes 20.22 (As);prn.;$;und;и;и;и
a.sg.n.;Bibelstellen;JH_20;Johannes 20.22 (As);pron.;$;diese(r,s);сь;се;се
prc.prt.act.n.sg.m.;Bibelstellen;JH_20;Johannes 20.22 (As);vb.pf.;c;reden;рещи;ре́къ;рекъ
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.22 (As);vb.pf.;;hauchen;доунѫти;доу́нѫ;доунѫ 
$;Bibelstellen;JH_20;Johannes 20.22 (As);prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.22 (As);vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.pl.m.;Bibelstellen;JH_20;Johannes 20.22 (As);prn.;$;er,sie,es;и;и́мъ;имъ
2.pl.imp.;Bibelstellen;JH_20;Johannes 20.22 (As);vb.pf.;b;empfangen;приѩти;приимѣ́те;приимѣте
a.sg.;Bibelstellen;JH_20;Johannes 20.22 (As);sm.;c;Geist;доухъ;доу́хъ;д҃х҃ъ҃
a.sg.m.;Bibelstellen;JH_20;Johannes 20.22 (As);adj.;c;heilig;свѧтъ;свѧ́тъ ;с҃т҃ь, 
$;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;und;и;и;и
d.pl.m.;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;rel.prn.;и;и́мъ;+имьже
$;Bibelstellen;JH_20;Johannes 20.23 (As);part.;$;же;же;же;имьже
2.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (As);vb.pf.;c;entlassen;отъпоустити;отъпоу́стите;оⷮпоустіте
a.pl.;Bibelstellen;JH_20;Johannes 20.23 (As);sm.;b;Sünde;грѣхъ;грѣхꙑ́;грѣхꙑ 
3.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (As);vb.pf.;c;entlassen;отъпоустити;отъпоу́стѧтъ;оⷮпоустѧтъ
a.;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;pass.;сѧ;сѧ;сѧ
d.pl.m.;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;er,sie,es;и;и́мъ ;имъ. 
$;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;und;и;и;и
d.pl.m.;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;rel.prn.;и;и́мъ;+имъже
$;Bibelstellen;JH_20;Johannes 20.23 (As);part.;$;же;же;же;имъже
2.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (As);vb.im.;b;halten;дрьжати;дрьжи́те;дръжіте
3.pl.prs.;Bibelstellen;JH_20;Johannes 20.23 (As);vb.im.;b;halten;дрьжати;дрь́жѧтъ;дръжѧтъ
a.;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;pass.;сѧ;сѧ;сѧ
d.pl.m.;Bibelstellen;JH_20;Johannes 20.23 (As);prn.;$;er,sie,es;и;и́мъ;имъ 
n.sg.;Bibelstellen;JH_20;Johannes 20.24 (As);sm.npr.;;Thomas;Ѳома;Ѳома́;ѳома
$;Bibelstellen;JH_20;Johannes 20.24 (As);part.;$;δὲ;же;же;же
a.sg.m.;Bibelstellen;JH_20;Johannes 20.24 (As);num.;b;eins;ѥдинъ;ѥди́нъ;едінъ
$;Bibelstellen;JH_20;Johannes 20.24 (As);prp.;$;von;отъ;отъ;оⷮ
g.du.m.;Bibelstellen;JH_20;Johannes 20.24 (As);prn.;;beide;оба;обо́ю;обою
$;Bibelstellen;JH_20;Johannes 20.24 (As);prp.;$;auf;на;на;на
l.sg.;Bibelstellen;JH_20;Johannes 20.24 (As);num.;c;zehn;десѧть;де́сѧте;десѧте
prc.prs.pass.n.sg.m.em.;Bibelstellen;JH_20;Johannes 20.24 (As);vb.;;nennen;нарицати;нарица́ѥмъи;наріцаемън
n.sg.;Bibelstellen;JH_20;Johannes 20.24 (As);sm.;;Zwilling;близньць;близнь́ць;блізнець 
$;Bibelstellen;JH_20;Johannes 20.24 (As);part.;$;nicht;не;не;не
3.sg.impf.;Bibelstellen;JH_20;Johannes 20.24 (As);vb.im.;a;sein;бꙑти;бѣ;бѣ
$;Bibelstellen;JH_20;Johannes 20.24 (As);adv.;$;da,dort;тоу;тоу;тоу
$;Bibelstellen;JH_20;Johannes 20.24 (As);pron.;$;diese(r,s);сь;сь;сь
i.pl.m.;Bibelstellen;JH_20;Johannes 20.24 (As);prn.;$;er,sie,es;и;ни́ми;німі 
$;Bibelstellen;JH_20;Johannes 20.24 (As);adv.;$;wann;ѥгда;ѥгда́;егда
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.24 (As);vb.pf.;b;kommen;приити;приде́;пріде
n.sg.;Bibelstellen;JH_20;Johannes 20.24 (As);sm.npr.;a;Jesus;Исоусъ;Исоу́съ;и҃с҃ 
3.pl.aor.;Bibelstellen;JH_20;Johannes 20.25 (As);vb.;a;sprechen;глаголати;глаго́лашѧ;г҃л҃ашѧ
d.sg.m.;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;er,sie,es;и;ѥмоу́;емоу
n.pl.m.em.;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;;ander;дроугъ;дроуꙃи́и;дроуꙃіи
n.pl.;Bibelstellen;JH_20;Johannes 20.25 (As);sm.;;Schüler;оученикъ ;оученици́ ;оучениці, 
1.pl.aor.;Bibelstellen;JH_20;Johannes 20.25 (As);vb.im.;a;sehen;видѣти;ви́дѣхомъ;відѣхомъ
a.sg.;Bibelstellen;JH_20;Johannes 20.25 (As);sm.;c;Herr;господь ;госпо́да ;г҃а҃, 
n.sg.m.;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;er,sie,es;онъ;о́нъ;онъ
$;Bibelstellen;JH_20;Johannes 20.25 (As);part.;$;δὲ;же;же;же
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.25 (As);vb.pf.;c;reden;рещи;ре́че;рече
$;Bibelstellen;JH_20;Johannes 20.25 (As);cnj.;$;wenn,if;аще;а́ще;аще
$;Bibelstellen;JH_20;Johannes 20.25 (As);part.;$;nicht;не;не;не
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.25 (As);vb.im.;a;sehen;видѣти;ви́ждѫ;віждѫ 
$;Bibelstellen;JH_20;Johannes 20.25 (As);prp.;$;auf;на;на;на
g.du.;Bibelstellen;JH_20;Johannes 20.25 (As);sf.;c;Hand;рѫка;рѫкоу́;рѫкоу
g.sg.;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;er,sie,es;и;ѥго́;его,
g.pl.;Bibelstellen;JH_20;Johannes 20.25 (As);sf.;;Wunde;ꙗзва;ꙗ́звꙑ;ѣзвꙑ
g.sg.f.em.;Bibelstellen;JH_20;Johannes 20.25 (As);adj.;;Nagel-;гвоздиинъ;гвозди́инꙑѩ ;гвоздіинꙑѩ, 
$;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;und;и;и;и
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.25 (As);vb.pf.;;hineinlegen;въложити;въложѫ́;въложѫ
g.sg.;Bibelstellen;JH_20;Johannes 20.25 (As);sm.;;Finger;прьстъ;прь́ста;пръста
g.sg.m.;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;mein;мои;моѥго́;моего
$;Bibelstellen;JH_20;Johannes 20.25 (As);prp.;$;in;въ;въ;въ
a.sg.;Bibelstellen;JH_20;Johannes 20.25 (As);sf.;;Wunde;ꙗзва;ꙗ́звѫ;ѣзвѫ
a.sg.f.em.;Bibelstellen;JH_20;Johannes 20.25 (As);adj.;;Nagel-;гвоздиинъ;гвозди́инѫѭ ;гвоздіинѫѭ, 
$;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;und;и;и;и
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.25 (As);vb.pf.;;hineinlegen;въложити;въложѫ́;въложѭ
a.sg.;Bibelstellen;JH_20;Johannes 20.25 (As);sf.;c;Hand;рѫка;рѫ́кѫ;рѫкѫ
a.sg.f.;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;mein;мои;моѭ́;моѭ
$;Bibelstellen;JH_20;Johannes 20.25 (As);prp.;$;in;въ;въ;въ
a.pl.;Bibelstellen;JH_20;Johannes 20.25 (As);sn.;;Rippe;ребро;ребра́;ребра
g.sg.;Bibelstellen;JH_20;Johannes 20.25 (As);prn.;$;er,sie,es;и;ѥго́;его,
$;Bibelstellen;JH_20;Johannes 20.25 (As);part.;$;nicht;не;не;не
1.sg.prs.;Bibelstellen;JH_20;Johannes 20.25 (As);vb.pf.;;nehmen;ѩти;имѫ́;имѫ
g.sg.;Bibelstellen;JH_20;Johannes 20.25 (As);sf.;a;Glauben;вѣра;вѣ́рꙑ ;вѣрꙑ, 
$;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;und;и;и;и
$;Bibelstellen;JH_20;Johannes 20.26 (As);prp.;$;nach;по;по;по
l.pl.;Bibelstellen;JH_20;Johannes 20.26 (As);num.;;acht;осмь;осми́;осмі
g.pl.;Bibelstellen;JH_20;Johannes 20.26 (As);sm.;b;Tag;дьнь;дьнь́;день
$;Bibelstellen;JH_20;Johannes 20.26 (As);adv.;$;wieder;пакꙑ;па́кꙑ;пакꙑ
3.pl.impf.;Bibelstellen;JH_20;Johannes 20.26 (As);vb.im.;a;sein;бꙑти;бѣ́ахѫ;бѣахѫ
n.pl.;Bibelstellen;JH_20;Johannes 20.26 (As);sm.;;Schüler;оученикъ;оученици́;оученици
g.sg.;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;er,sie,es;и;ѥго́;его 
$;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;und;и;и;и
n.sg.;Bibelstellen;JH_20;Johannes 20.26 (As);sm.npr.;;Thomas;Ѳома;Ѳома́;ѳома
$;Bibelstellen;JH_20;Johannes 20.26 (As);pron.;$;diese(r,s);сь;сь;сь
$               d.sg.en.;Bibelstellen;JH_20;Johannes 20.26 (As);part.;$;nicht,neĩ;ни;+ни́ми;+німі,
i.pl.m.;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;ich;и;ни́ми;німі,
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.26 (As);vb.pf.;b;kommen;приити;приде́;пріде
$;Bibelstellen;JH_20;Johannes 20.26 (As);part.;$;δὲ;же;же;же
n.sg.;Bibelstellen;JH_20;Johannes 20.26 (As);sm.npr.;a;Jesus;Исоусъ;Исоу́съ;и҃с҃ъ 
d.pl.;Bibelstellen;JH_20;Johannes 20.26 (As);sf.;;Tür;двьрь;двьрь́мъ;двьремъ
prc.prt.pass.d.pl.m.;Bibelstellen;JH_20;Johannes 20.26 (As);vb.pf.;;schließen;затворити;затворе́номъ;затвореномъ,
$;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.26 (As);vb.;a;stehen;стати;ста;ста
$;Bibelstellen;JH_20;Johannes 20.26 (As);prp.;$;auf,über;по;по;по
d.sg.;Bibelstellen;JH_20;Johannes 20.26 (As);sf.;;Mitte;срѣда;срѣдѣ́;срѣдѣ
g.pl.m.;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;er,sie,es;и;и́хъ;ихъ 
$;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;und;и;и;и
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.26 (As);vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.pl.m.;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;er,sie,es;и;и́мъ;им
$;Bibelstellen;JH_20;Johannes 20.26 (As);adv.;$;wieder;пакꙑ;па́кꙑ;пакꙑ
a.sg.;Bibelstellen;JH_20;Johannes 20.26 (As);sm.;c;Friede;миръ;ми́ръ;міръ
d.pl.;Bibelstellen;JH_20;Johannes 20.26 (As);prn.;$;ihr;вꙑ;ва́мъ ;вамъ, 
$;Bibelstellen;JH_20;Johannes 20.27 (As);prp.;$;nach;по;по;+потом
l.sg.n.;Bibelstellen;JH_20;Johannes 20.27 (As);prn.;$;der,dieser;тъ;томь́;потом
$;Bibelstellen;JH_20;Johannes 20.27 (As);part.;$;δὲ;же;же;же
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.27 (As);vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.sg.;Bibelstellen;JH_20;Johannes 20.27 (As);sm.npr.;;Thomas;Ѳома;Ѳомѣ́;ѳомѣ
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (As);vb.pf.;c;herbringen;принести;принеси́;прінесі
a.sg.;Bibelstellen;JH_20;Johannes 20.27 (As);sm.;;Finger;прьстъ;прь́стъ;пръстъ
a.sg.;Bibelstellen;JH_20;Johannes 20.27 (As);prn.poss.;$;dein;твои;твои́;твои
$;Bibelstellen;JH_20;Johannes 20.27 (As);adv.;$;hierher;сѣмо;сѣ́мо;сѣмо 
$;Bibelstellen;JH_20;Johannes 20.27 (As);prn.;$;und;и;и;и
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (As);vb.im.;a;sehen;видѣти;ви́ждь;виждъ
a.du.;Bibelstellen;JH_20;Johannes 20.27 (As);sf.;c;Hand;рѫка;рѫ́цѣ;рѫцѣ
a.du.f.;Bibelstellen;JH_20;Johannes 20.27 (As);prn.;$;mein;мои;мои́;мои,
$;Bibelstellen;JH_20;Johannes 20.27 (As);prn.;$;und;и;и;и
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (As);vb.pf.;c;herbringen;принести;принеси́;прінесі
a.sg.;Bibelstellen;JH_20;Johannes 20.27 (As);sf.;c;Hand;рѫка;рѫ́кѫ;рѫкѫ
a.sg.f.;Bibelstellen;JH_20;Johannes 20.27 (As);prn.poss.;$;dein;твои;твоѭ́ ;твоѭ, 
$;Bibelstellen;JH_20;Johannes 20.27 (As);prn.;$;und;и;и;и
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (As);vb.pf.;;hineinlegen;въложити;въложи́;въложи
$;Bibelstellen;JH_20;Johannes 20.27 (As);prp.;$;in;въ;въ;въ
a.pl.;Bibelstellen;JH_20;Johannes 20.27 (As);sn.;;Rippe;ребро;ребра́;ребра
a.pl.n.;Bibelstellen;JH_20;Johannes 20.27 (As);prn.;$;mein;мои;моꙗ́;моѣ,
$;Bibelstellen;JH_20;Johannes 20.27 (As);prn.;$;und;и;и;и
$;Bibelstellen;JH_20;Johannes 20.27 (As);part.;$;nicht;не;не;не
3.sg.imp.;Bibelstellen;JH_20;Johannes 20.27 (As);vb.im.;a;sein;бꙑти;бѫ́ди;бѫді 
$;Bibelstellen;JH_20;Johannes 20.27 (As);part.;$;nicht;не;не;+неневѣренъ,
n.sg.m.;Bibelstellen;JH_20;Johannes 20.27 (As);adj.;;gläubig;вѣрьнъ;вѣ́рьнъ;неневѣренъ,
$;Bibelstellen;JH_20;Johannes 20.27 (As);adv.;$;jetzt;нъ;нъ;нъ
n.sg.m.;Bibelstellen;JH_20;Johannes 20.27 (As);adj.;;gläubig;вѣрьнъ;вѣ́рьнъ ;вѣренъ, 
prc.prt.act.n.sg.m.;Bibelstellen;JH_20;Johannes 20.28 (As);vb.im.;;antworten;отъвѣщати;отъвѣща́въ;ѡтъвѣщавъ
$;Bibelstellen;JH_20;Johannes 20.28 (As);part.;$;δὲ;же;же;же
n.sg.;Bibelstellen;JH_20;Johannes 20.28 (As);sm.npr.;;Thomas;Ѳома;Ѳома́;ѳома
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.28 (As);vb.pf.;c;reden;рещи;ре́че;рече
d.sg.m.;Bibelstellen;JH_20;Johannes 20.28 (As);prn.;$;er,sie,es;и;ѥмоу́;емоу,
n.sg.;Bibelstellen;JH_20;Johannes 20.28 (As);sm.;c;Herr;господь;госпо́дь;г҃ь҃
n.sg.m.;Bibelstellen;JH_20;Johannes 20.28 (As);prn.;$;mein;мои;мо́и;мои
n.sg.;Bibelstellen;JH_20;Johannes 20.28 (As);sm.;c;Gott;богъ;бо́гъ;б҃ъ҃
n.sg.m.;Bibelstellen;JH_20;Johannes 20.28 (As);prn.;$;mein;мои ;мои́ ;мои, 
3.sg.aor.;Bibelstellen;JH_20;Johannes 20.29 (As);vb.;a;sprechen;глаголати;глаго́ла;г҃л҃а
d.sg.m.;Bibelstellen;JH_20;Johannes 20.29 (As);prn.;$;er,sie,es;и;ѥмоу́;емоу
n.sg.;Bibelstellen;JH_20;Johannes 20.29 (As);sm.npr.;a;Jesus;Исоусъ;Исоу́съ;и҃с҃ъ,
$;Bibelstellen;JH_20;Johannes 20.29 (As);adv.;$;dass;ꙗко;ꙗ́ко;ѣко
prc.prt.act.n.sg.m.;Bibelstellen;JH_20;Johannes 20.29 (As);vb.im.;a;sehen;видѣти;ви́дѣвъ;відѣвъ
a.sg.;Bibelstellen;JH_20;Johannes 20.29 (As);prn.;$;ich;азъ;мѧ;мѧ
2.sg.aor.;Bibelstellen;JH_20;Johannes 20.29 (As);vb.;;glauben;вѣровати;вѣ́рова ;вѣрова, 
prc.prt.pass.n.pl.m.;Bibelstellen;JH_20;Johannes 20.29 (As);vb.pf.;b?;heiligen,segnen;блажити;блаже́ни;блажені
$;Bibelstellen;JH_20;Johannes 20.29 (As);part.;$;nicht;не;не;не
prc.prt.act.n.pl.m.em.;Bibelstellen;JH_20;Johannes 20.29 (As);vb.im.;a;sehen;видѣти;ви́дѣвъшии;відѣвъшіи
$;Bibelstellen;JH_20;Johannes 20.29 (As);prn.;$;und;и;и;и
prc.prt.act.n.pl.m.em.;Bibelstellen;JH_20;Johannes 20.29 (As);vb.;;glauben;вѣровати;вѣ́ровавъшии ;вѣровавшіи, 
n.pl.n.;Bibelstellen;JH_20;Johannes 20.30 (As);prn.;a;viel;мъногъ;мъно́га;многа
$;Bibelstellen;JH_20;Johannes 20.30 (As);part.;$;δὲ;же;же;же
n.pl.;Bibelstellen;JH_20;Johannes 20.30 (As);sn.;a;Zeichen;знамениѥ;знаме́ниꙗ;знаменіѣ
2.sg.imp.;Bibelstellen;JH_20;Johannes 20.30 (As);vb.pf.;c;machen;сътворити;сътвори́;сътворі
n.sg.;Bibelstellen;JH_20;Johannes 20.30 (As);sm.npr.;a;Jesus;Исоусъ;Исоу́съ;и҃с҃ъ
$;Bibelstellen;JH_20;Johannes 20.30 (As);prp.;$;vor,gegenüber;прѣдъ;прѣ́дъ;прѣдь
