doc;page;line;type;source;marg;text
McP_I;009;10;"";"";"Pſal. 3,7";"Es nhe | bieſtohß parr dauds ſimbt⸗tuhxtoſcheem / kattri kahrt kahr- | teem mann apẜehſch . Ʒelleeß Kungs / und paliedſi mann / | manns Deews / aiſto tu ẜaẜitt wiſẜus mannus Waidenee- | kus / und ẜaghraus teem Beßdeewigheem tohß Sohbus ."
McP_I;009;25;"";"";"";"Tee noghaja / | und darrija / ka teem JEſus pawehlejis by / und attwed- | de to Eſeļa⸗Maht / und to Kumeļu / und uslicka ẜawas | Drehbes / und us⸗ẜaͤhdenaja to Kunghu JEſum"
McP_I;010;3;"Bibelanpassung";"Pſal. 115,3";"Pſal. 115,3; Eſa. 7,9";"Wings warr darriet | wiß ko wings ghribb Debbeſẜies und us Semmes / Ja | mehs nhe titʒam / tad mehs nhe palleekam ."
McP_I;010;6;"";"";"";"Jemmeeta / ehdeeta / | tha gir manna Meeſẜa / dſerreeta / taß gir mans Aſẜins /"
McP_I;010;10;"";"";"Matth. 28,20";"Eß aͤßmu py jums ick Deenas lieds Paſẜaules Ghal- | lam"
McP_I;010;13;"Bibelzitat";"Joh. 8,51";"Joh. 8,51";"Kaß mannu Wahrdu turr / taß muhſcham to | Nahwu nhe redſehß ."
McP_I;010;14;"";"";"1. Par. 20,20";"Titʒeeta tam Kungham juhſẜam | Deewam / tad jums nhe weens kaitehß ."
McP_I;010;16;"";"";"";"Dauds | Ļaudis ißplattija ẜawas Drehbes us Ʒeļļu / ʒitti ʒirta | Sarrus no teem Kohkeem / unnd kaiſẜija tohß us Ʒeļļu . | Bett tee Ļaudis / kattri preekſcha ghaja und packal ſtai- | ghaja / leelo Brehkſchane brehʒe / und ẜatʒija : Hoſianna | tam Dahwida Daͤhlam : Ꞩlawaͤhtʒ gir taß kaß nahk / eek- | ſchan tha Kungha Wahrdu / Hoſianna eekſchan Auxtibas ."
McP_I;010;29;"";"";"";"Hoſianna tam Daͤhlam Dawid / | Ꞩlawaͤhtʒ gir taß kaß nahk eekſchan tha Kungha Wahr- | du ."
McP_I;011;8;"";"";"Eph. 4,22";"to waͤtʒu Ʒillwaͤku ißwaͤllkam / und | to jaunu Ʒillwaͤku apwaͤllkam / katters pehtʒ Deewu rad- | diets gir / eekſchan ihſtaͤnas Taißnibas und Ꞩwehtibas"
McP_I;011;14;"";"";"";"tohß abghanitus | Ꞩwahrkus tahß Meeſẜas ."
McP_I;011;22;"";"";"1. Tim. 2,12; Matt. 5,16";"ʒeenighe ſtaighaht preekſch Deewu / kat- | ters mums aiʒenajis gir py ẜawas Wallſtibas / und py ẜa- | wu Ghohdu / und laideeta mums muhſẜu Ꞩwetʒ ſpiedeht | preekſch wiſẜeem Ʒillwaͤkeem ."
McP_I;011;29;"";"";"Eſa. 61,3";"ka Kohkuß tahß | Taißnibas"
McP_I;011;31;"";"";"Hebr. 13,16";"Labbe darriet / und doht nhe aißmirr- | ſtaht ."
McP_I;012;2;"";"Herr Gott dich loben wir";"Cant. Eccleſ.";"Paliedſi taweem Ļaudeem Kungs JEſu Chriſt / und | ẜwehti kattri tawi Baͤhrni gir / ẜarrghi und ghlabbo tohß | allaſchien / und ʒell tohß auxte muhſchighe / Amen / Amen ."
McP_I;012;7;;;;"no to Paſtaru Deenu"
McP_I;014;3;"";"";"";"No turrenes taß Atteeß | ( taß gir / JEſus Chriſtus Atteeß no Debbeß ) ẜodiet | tohß Dſiewus und Mirruſchus ."
McP_I;014;7;"";"";"";"Padebbeſẜies nahx | redſighe ar leelu Spaͤhku und Ghohdu"
McP_I;014;9;"";"";"";"Ꞩau- | les / py Mehnes / und py Swaigsneems"
McP_I;014;11;"";"";"";"us Semmes buhß teems Ļau- | deems bail / iſẜamiſẜeſẜeeß / und tee Ʒillwaͤki dilltin nodills / | iſẜabidamees / und ghaididami tahß leetas / kattri nahx us | Semmes ."
McP_I;014;14;"";"";"";"Tahß Vdens⸗ | Willnes und ta Juhre kaux ."
McP_I;014;22;"";"";"";"ko ick⸗kattram Ʒillwaͤkam | ſinnaht und titʒeht buhß no to paſtaru Deenu ."
McP_I;015;2;;;"3. Pet. 3,5";
McP_I;015;9;;;"Matth. 24";
McP_I;015;12;"";"";"Act. 1,11";"Ꞩchiß JE- | ſus / katters no jums gir usjaͤmbtʒ eekſchan Daͤbbaͤſẜu / | taß nahx / ihten ka juhß eſẜeete redſejuſſchi to us Daͤbbaͤſẜu | brauʒam ."
McP_I;015;20;"";"";"";"no turrenes attkal atteeß / ẜodieth Dſiewus und Mir- | ruſchus"
McP_I;015;23;"";"";"";"kad jehle taß Kungs JEſus py tahdas | Ꞩohdibas nahx ?"
McP_I;015;24;"";"";"Marc. 16,32";"No to | Deenu und no to Stundu nhe ſinna nheweens / ney ar- | ridſan tee Engeļi Debbeſẜies / ja ney arridſan taß Daͤhls / | bett ween taß Taͤhws / katters ẜcho ẜawam Spaͤhkam pa- | turrejis ."
McP_I;016;19;"";"";"Matt. 25,8";"Siemes notix py Ꞩaules und Mehnes / und | Swaigsneems / irr tahß Debbes Stipprumi kuſtinahſẜees ."
McP_I;016;30;"";"";"";"Tahß | Debbeß Stipprumi kuſtinajahß ."
McP_I;017;18;"";"";"";"Vs Semmes buhß teems Ļau- | deems bail / und iſẜamiſẜeſẜeeß ."
McP_I;018;6;"";"";"";"Tee Ʒillwaͤki dilltin no⸗dillß / iſẜabidameeß / | und ghaididami tahß Leetas / kattras nahx uhs Sem- | mes ."
McP_I;018;14;"";"";"Zeph. 1,17";"Eß ghribbu teems Ļaudeems | Jßbail darriet / ka teems ẜchurrp und turp blanditeeß | buhß / ka Ackleem ."
McP_I;019;1;"";"";"2. Cor. 5";"nahx ẜodiet to Paſẜaul / und | attmaxaht ick⸗kattram / ka wings darrijis gir Dſiewo- | dams / jeb taß gir labb jeb ļaun ."
McP_I;019;4;;;"Gen. 6,3";
McP_I;019;12;;;"Gen. 19,13–14";
McP_I;019;14;"";"";"2. Pet. 2,28; Luc. 17,28–29";"krimbta winja taißnu Dwehſẜel / tee | ehde / tee dſehre / tee pirrka / tee pahr⸗dehwe / tee dehſtija / | tee ſtrahdaja"
McP_I;019;27;"";"";"";"Attſtajeteeß no Ghraͤkeems / aiſto ta | Deena ta Ꞩohda und tahß Dußmibas gir daggajuſẜi ."
McP_I;020;3;"";"";"Pſ. 50,3–4";"Muhſẜo Deews nahk / | und nheʒeeẜch kluſſe / riedams Vgguns eet preekſchan win- | ju / und apkahrt winju leeli Waͤhtri / wings ẜautʒ Debbes | und Semmei / ka wings ẜawus Ļaudis ẜohdohtʒ ."
McP_I;020;11;"";"";"Joël. 2,30";"taß | Kungs ghribbohtʒ pirrms to leelu Deenu Brienuma⸗ | Siemes dohdt / eekſchan Debbeß und wirſẜon Semmes / | Aſẜinis / Vgguni / Duhmus / tai Ꞩaulei buhß Tumbẜibà / | und tai Mehnes Aſẜinies par⸗waͤhrtam tapt / pirrms ta | leela und breeßmigha Deena tha Kungha nahx ."
McP_I;020;20;"";"";"Hebr. 10,30";"Breeßmigha leeta buhß / eekſchan | to Rohku ta dußmigha Ꞩohgha ee⸗kriſt ."
McP_I;020;28;"";"";"1. Theſſ. 5,3";"Nu gir Meers / nu nhe gir | Kaites / tad ta Ꞩamaitaẜchana tohß peepehſche usbrux / | und ta ( paſtara ) Deena ka Sagglis Nackty nahx"
McP_I;021;1;"";"";"1. Joh. 3,3";"Jck⸗kattris / kam ta Ʒerriba gir us | Winju ( us Deewu ) taß ſchkieſti ẜawu Ꞩirrdi"
McP_I;021;5;;;"Gen. 7";
McP_I;021;9;"";"";"2. Petr. 2; Gal. 6; Habac. 2";"kur palleek ta | Ꞩoliẜchana winja Attnahkſchanas ? Bett nhe allojeeß / | Deews nhe leekahß apmehditeeß ! taß Kungs nahgdams | nahx / und nhe kahwehß"
McP_I;021;19;"";"";"Rom. 4,23; Joh. 3,16";"muhſẜo | Ghraͤko dehļ nomirris / und muhſẜas Taißnibas pehtʒ | no Mirroņeems aukſcham ʒehleeß / und ẜohlijis / wiſẜeems / | kattri eekſchan to titʒ / to muhſchighu Dſiewoẜchanu doht ."
McP_I;022;3;;;"1. Theſſ. 4";
McP_I;022;6;"";"";"";"nah- | koht Paddebbeſẜies / ar leelu Spaͤhku und Ghodu ."
McP_I;022;9;"";"";"Pſal. 2,12; Joh. 21";"winja Dußmiba par toͤw aisdeggs"
McP_I;022;11;"";"";"1. Cor. 4,5";"preekſcha rahdieß / kaß Tumbẜumà paẜlaͤhptʒ | ghull / ja irr tawas Ꞩirrdes Padomu attklahß ."
McP_I;022;16;;;"Pſ. 139,6–7";
McP_I;023;5;"";"";"Zephan. 1,13";"weena Deena tahß Nhelaimes und | Jßbailes / Deena tahß Dußmibas / Deena leelas Aukas / | Deena tahß Tumbẜibas / Deena tahß Paddebbeſẜes und | Migglas"
McP_I;023;11;"";"";"";"Ꞩarrghajeteeß / ka juhſẜas | Ꞩirrdes nhe tohp abghruhtenatas ar leekas Ehſchanas | und Dſerrſchanas / und ar Ghahdaſchanas tahß Vs- | turreſchanas / und nahktu ẜchi ( paſtara ) Deena peepehſch | us jums ."
McP_I;023;18;"";"";"";"leeka Ehſcha- | na und Dſerrſchana / ohtri / Ghahdaẜchana"
McP_I;024;1;"";"";"";"eſẜeeta mohdrighi allaſchien / ẜacka JEſus Chri- | ſtus / und luhdſeeta ."
McP_I;024;5;"";"";"";"Peepehſche | nahx / ka kahds Slaſda⸗Walgs ta nahx / par wiſẜeems / | kattri wirß Semmes dſiewo"
McP_I;024;7;"";"";"Eccleſ. 9,12";"taß Ʒillwaͤhx ẜawu | ( paſtaru Deenu / und ) Laiku nhe ſinna / ka Siwis tohp max- | ſchkeraͤtas / und Puttni Walldſiņahß dabbuiti / tha warr | irr daẜch Ʒillwaͤhx ka Spohſtà dabbuits ẜlimmà Laikà / | kad taß peepehſche tam useet"
McP_I;024;18;"";"";"";"mohdrighe buht / und Deewu luhkt / ka tu warri | ʒeeniegs tapt / wiſẜu to ißbehkt / kaß notixeeß / und preekſch | tha Ʒillwaͤka Daͤhlu ſtahweht ."
McP_I;024;26;"";"";"Matth. 25,34";"Nahʒeeta ẜchurr juhß no Deewu ẜwehtiti / ee⸗man- | tojeeta to Wallſtu / kattra jums ẜataiẜita gir no Eeẜaku- | mu tahß Paſẜaules : Tad eſẜi mohdriegs ."
McP_I;024;30;"";"";"";"mohdrigheem buhß mums | buht ."
McP_I;025;1;"";"";"1. Theſſ. 5,2";"ta paſtara Deena ka Sagglis Nackty mums us- | eeß / itt nheſiņņoht"
McP_I;025;2;"";"";"2. Cor. 6,2";"Nu gir | wehl taß pee⸗jemmiegs Laix"
McP_I;025;15;"";"";"";"weena Deena tahß Peſtiſchanas"
McP_I;025;21;"";"";"Matth. 25,34";"Ee⸗manntojeeta to Wallſtu / kattra jums ẜa- | taiẜita gir / no Paſẜaules Eeẜakumu ."
McP_I;026;1;"";"";"Zeph. 1,18";"Nheghauſibu . Aiſto | Saͤlltʒ und Ꞩuddrabbs paſtarà Deenà jums nhe palie- | dſehß . Bett luhdſeeta / ẜatʒidami : Attpeſti mums no wiſẜu | Ļaun"
McP_I;026;8;;;;"ka taß ẜwaͤhtʒ Jahnis / katters | to Kunghu JEſum Chriſtijis by / ẜawus Mahʒekļus | py to paſẜchu Chriſtum JEſum noẜuhtijis / no winja | Muttes dſirrdeht und mahʒiteeß / Wings aͤſẜohtʒ taß | ihſtaͤns Paſẜaules Peſtitais / kattru Deews ẜohlijis | ẜuhtiet"
McP_I;028;22;;;"1. Pet. 1,10";
McP_I;028;24;;;"Act. 4,12; Joh. 14,6";
McP_I;029;2;"";"";"Joh. 1,27";"Redſi / ẜchiß gir Deewa Jaͤhrs / | katters tahß Paſẜaules Ghraͤkus naͤß"
McP_I;029;8;"";"";"Joh. 1,27";"Ʒeeniegs nhe aͤſẜohtʒ | tam Kungham JEſu tahß Kurrpes⸗Ꞩixnus usraiſẜiet"
McP_I;029;23;"";"";"";"ka taß ẜwaͤhtʒ Jahnis diwi no ẜaweem Mahʒe- | kļeem py to Kunghu JEſum noẜuhtijis / und kahdu Ant- | wahrdu te dabbujuẜchi . | Nu palliedſi Kungs mann tawam Kallpam / | Kattru tu ar tawu dahrgu Aſẜini attpeſtijis eſẜi / Amẽ ."
McP_I;029;28;;;"Matth. 9,34";
McP_I;030;9;"";"";"";"Kad nu Jah- | nis Ʒeetumà Buhdams tohß Darrbus Chriſti dſirrdeja / | ka wiſẜa Semme ar pillu Mutt no to runnaja / tad ẜuhtija wings | diwi no ẜaweem Mahʒekļeem ."
McP_I;030;19;"";"";"Matt. 14,3";"Herodes licka to Rohkà jembt / und Ʒeetumà | meſt / und ẜaiſtiet ."
McP_I;030;21;"";"";"";"Taß nhe gir pareiſe / ka tu tawa Brahļa Ꞩeewu | turreeß"
McP_I;032;10;;;"1. Reg. 20,40";
McP_I;032;12;"";"";"Amos. 7,12";"Tu Deew⸗Red- | ſis / ey nohſt / und behds Juddo⸗Semmeh / und ehd turr | Mais / und mahʒi turr / nhe mahʒi wair ẜcheh / ẜcheh gir tha | Koninja Pills ."
McP_I;032;19;;;"Dan. 5,5";
McP_I;032;25;"";"";"Luc. 19,40";"tad buhß | Ackminis runnaht"
McP_I;032;31;"";"";"Eſa. 58,1";"Baſuni jeb Trummeteri"
McP_I;033;9;;;"Eſa. 60,6";
McP_I;033;15;;;"Ez. 3,21";
McP_I;034;3;;;"Act. 4,12";
McP_I;034;16;"";"";"Rom. 5,4";"Muhſẜo Nhelaimiba waͤd- | dahß Paʒeeẜchanu / Paʒeeẜchana ( waͤddahß ) Nomanni- | ẜchanu / Nomanniẜchana ( waͤddahß ) Ʒerribu / Ʒerriba | nhe leek Kaunà tapt"
McP_I;034;23;"";"Wenn mein Stündlein vorhanden ist, Z. 15-21";"Cantil. Eccleſ.";"Eß aͤßmu weens Lohʒeklis | py tawu Meeſẜu / Kungs JEſu Chriſt / par to eß preeʒajohß | no Ꞩirrds / no toͤw eß nhe leekohß noſchkirrteeß / Nahwes | Mohkahß und Baͤhdohß buhdams / ja eß mirrſtu tad eß | toͤw mirrſtu / to muhſchighu Dſiewoſchanu eſẜi tu mann | ar tawu Nahwu atpirʒis ."
McP_I;035;10;"";"";"Pſ. 51,14";"Eß ghribbu teem | Pahrkahpejeem tawus Ʒeļļus / O Deews / mahʒiet / ka | teem Ghrehʒeneekeem py toͤw buhß attghreeſteeß ."
McP_I;035;14;;;"Gen. 35,3";
McP_I;035;23;"";"";"Tob. 5,1";"Wiß ko tu man ẜatʒijis eſẜi / Taͤhws / to ghribbu eß | darriet ."
McP_I;035;25;"";"";"";"Wings wehl tohß Acklus raͤdſoſchus darra / und tohß Tiſ- | lus eijoẜchus / tohß Spittalighus ſchkieſtus / tohß Kurr- | lus dſirrdohẜchuß / teems Mirroņeems dohd Wings Dſie- | wibu / teem Nabbagheem mahʒa Wings to Ewangelium ."
McP_I;035;31;"";"";"Eſa. 59,10";"mehß ſtaighajam Tumbẜumà / mehß | ghrahb- | ghrahbſtam pehtʒ Ꞩeenas / ka Ackli / und dauſameeß Puß- | deenà / ka Nowackarà"
McP_I;036;4;"";"";"Eſa. 9,1";"tee Ļaudis / kattri Tumbẜumà ſtaigha / raͤds leelu Ghaiß- | mu / und par teem / kattri dſiewo tumbſẜà Semmeh / ſpoh- | ſche ſpied ."
McP_I;036;6;"";"";"Joh. 1,9";"JEſus gir ta ihſtaͤna Ghaißma / kat- | tra abſkaidro wiſẜus Ʒillwaͤkus / kattri ẜchinny Paſẜauleh | nahk ."
McP_I;036;9;"";"";"Joh. 3";"Deews tha to | Paſẜaul mielojis gir"
McP_I;036;15;"";"";"Pſ. 18,45; 1. Reg. 18,21";"mehs klibbojam us muhſẜeem Ʒeļļeem / abbi puſẜeh mehß | klibbojam :"
McP_I;036;17;"";"";"Joh. 14,6";"mehs ʒaur Winju ween py muhſẜu Daͤb- | baͤſẜo⸗Taͤhwu nahkt warram ."
McP_I;036;19;"";"";"Rom. 3,23";"mums truhxt ta Leeliẜchana preekſch | Deewu / aiſto mehß Ghrehʒeneeki aͤſẜam"
McP_I;036;20;"";"";"Rom. 8,8";"kam meeſẜiegs | Prahtʒ / taß nhe warr Deewam patickt"
McP_I;036;28;"";"";"3. Sam. 3,10";"Runna manns Kungs / | aiſto taws Kallps klauſẜahß ."
McP_I;037;1;;;"Joh. 11,25";
McP_I;037;7;;;;"ka tee auxti Kunghi ſtarp teem | Juddeem ẜawus Baſniʒas⸗Kunghus py to ẜwaͤhtu | Jahni ẜuhtija / ghribbaͤdami ſinnaht / arrieg Wings | Chriſtus aͤſẜohtʒ / und ko Wings teem adbilldeja"
McP_I;039;2;;;"Exod. 5,21";
McP_I;039;5;;;"Exod. 17,6; Num. 14,17; 1. Cor. 10,5";
McP_I;039;12;"";"";"Eſa. 45,8; c. 65,1";"Ꞩlatʒenajeeta juhß Debbeſẜes no auk- | ſchenes / und tahß Paddebbeſẜes lai lieſt ( Semmeh ) to | Taißnibu / Semme lai att⸗darrahß / und attnaͤß ( mums ) | to Peſtitaẜchanu / Ock / kaut tu ( Peſtitais ) buhtu tahß | Debbeſẜes pahr⸗rahwis / und ſemmeh nahʒis :"
McP_I;039;20;"";"";"Joh. 1,12";"eekſchan ẜawu paſẜchu / kaß winjam peedaͤrr / nahk / | tomaͤhr ẜawi paſẜchi Ļaudis"
McP_I;039;25;"";"";"Matth. 3,17";"Taß aͤſẜohtʒ Deewa Daͤhls / katters | winjam patick ."
McP_I;039;28;"";"";"Joh. 1,19";"Ꞩchiß gir Deewa Jaͤhrs / katters taß | Paſẜaules Ghraͤkus naͤß :"
McP_I;040;4;"";"";"Joh. 7,33";"Juhß ẜuhtijaht py Jahni / bett wings | dehwe Leeʒibu no tahß Taißnibas / bett Eß nhe jaͤmmu | Leeʒibu no Ʒillwaͤkeem / bett to es jums ẜacku / ka juhß | ẜwaͤhti tohpaht : Wings by daͤgguſcha und ſkaidra Ꞩwe- | tʒe / bett juhß ghribbejaht maſu briedi liexmi buht no win- | ja Ghaiſchumu ; Bett mann gir leelaka Leeʒiba / nhe ka | Jahņa Leeʒiba ."
McP_I;040;15;"";"";"";"ka tee | auxti Kunghi ſtarrp teem Juddeem ẜawus Baſniʒas⸗ | Kunghus py to ẜwaͤhtu Jahni ẜuhtija / waiʒaht / arrieg | wings Chriſtus aͤſẜohtʒ / und ko wings teem adbilldeja ."
McP_I;040;25;;;"Luc. 1,11";
McP_I;041;7;"";"";"Num. 18,2";"Baſniʒas⸗Kunghus"
McP_I;041;11;"";"";"";"kaß eſẜi tu"
McP_I;041;27;"";"";"Pſ. 1,1";"mums nhe buhß ſtaighaht eekſchan to | Beßdeewigho Runnas / neds ſperrt us to Ghrehʒeneeko | Ʒeļļu / neds ẜehdeht / kurr tee Mehditaji ẜehſch ."
McP_I;041;30;"";"";"Eſa. 52";"Behdſeeta / Behdſeeta / eita nohſt no | teem / und nhe ais⸗ſkarreeta nhekahdu Nheſchkieſtimu[Nheſchkieſtumu] / | tad | tad ghribbu Es jums us⸗jembt / unnd jums buhß man- | neem Daͤhleem und Meitahm buht / und Eß ghribbu | juhſẜo Taͤhws buht ."
McP_I;042;4;;;"Gen. 11. & ſeq.";
McP_I;042;11;;;"Ex. 2. ſq.";
McP_I;042;15;"";"";"Hebr. 12";"labbis wings Ʒeete ar Deewa Ļaudeem Mohkaß unnd | Raiſu / nhe ka winjam Ghraͤko Eepreeʒanaẜchana pati- | ckuſẜi"
McP_I;042;20;"";"";"Pſ. 84";"Weena Deena Deewa⸗preekſchà⸗Nammà gir lab- | baka / nhe ka tuhxtoẜchi Ghaddi . Eß labbis ghribbu | Durrwo⸗Ꞩarrgs buht manna Deewa Nammà / nhe ka | illghe dſiewoht Beßdeewigho Buhdahß ."
McP_I;042;29;;;"Gen. 43";
McP_I;043;1;;;"Pſ. 16";
McP_I;043;17;;;;"CHriſtus "
McP_I;043;21;;;;"eſẜi tu taß Chriſtus"
McP_I;043;22;;;;"Eß nhe aͤßmu Chriſtus ."
McP_I;043;27;;;"Pſ. 110,4";
McP_I;043;28;"";"";"Eſa. 42,8";"Deews ẜawu Ghohdu ʒittam nhe ghribb doht :"
McP_I;043;29;"";"";"";"Eß nhe aͤßmu Chriſtus ."
McP_I;043;30;"";"";"2. Reg. 2,11";"Eſẜieg tad tu Elias ?"
McP_I;044;3;;;"Mal. 3,1; C. 4,5";
McP_I;044;7;;;"Matth. 11,15; 1. Reg. 18,46";
McP_I;044;14;;;"Matth. 3; Marc. 1; Luc. 3";
McP_I;044;17;;;"2. Reg. 1,8";
McP_I;044;21;"";"";"";"Arrieg wings | kahds Proweets aͤſẜohts ?"
McP_I;044;22;;;;"Nhe"
McP_I;044;26;;;"Matth. 11,10";
McP_I;044;30;"";"";"";"Kaß eſẜi tu tad / ka mehß | ſinnam adbilldeht teem / kattri mums ẜuhtijuẜchi gir ? Ko | ẜackais | ẜackais tu no ẜoͤw paſẜchu ?"
McP_I;045;6;"";"";"Eſa. 40,3";"Eß aͤßmu ẜautʒams | Ballxnis Tuxneſẜy / Taiſẜaita Ʒeļļu tha Kungha / ka taß | Proweets Eſaias ẜatʒijis gir ."
McP_I;045;15;"";"";;"iß⸗ẜatʒija / und nhe leedſe"
McP_I;045;18;"";"";"Syr. 4,24–33";"Nhe kaunejeeß iß⸗ẜatʒiet / kaß Teeſẜa | gir / bett aisbilldini to Taißnibu ihs patt Nawy / tad | Deews taß Kungs preekſch toͤw kaŗŗohß ."
