2;1;4;intr;najis;safe;#WERT!;;#WERT!;#WERT!;#WERT!;x;#WERT!;#NAME?
2;5;15;aus2;dſimdenajis;safe;u;;11;2424aus2Vsluhkojeeß;224Vsluhkojeeß;x;x;#NAME?
2;5;1;aus2;raddijis;safe;l;;11;2515aus2dſimdenajis;215dſimdenajis;x;x;#NAME?
2;5;19;aus2;raddijis;safe;l;;8;251aus2raddijis;21raddijis;x;x;#NAME?
3;5;3;peri;jehmis;unsafe;l;;8;2519aus2raddijis;219raddijis;x;x;#NAME?
3;5;24;peri;pamettis;unsafe;l;;6;353perijehmis;33jehmis;x;x;#NAME?
3;5;8;peri;dewis;unsafe;l;;8;3524peripamettis;324pamettis;x;x;#NAME?
3;5;24;peri;dewis;unsafe;l;;5;358peridewis;38dewis;x;x;#NAME?
2;5;3;aus2;dehwis;unsafe;l;;5;3524peridewis;324dewis;x;x;#NAME?
1;5;6;aus2;attpirrʒis;unsafe;l;;6;253aus2dehwis;23dehwis;x;x;#NAME?
1;5;23;aus2;Ꞩarrghajieeß;unsafe;l;?;10;156aus2attpirrʒis;16attpirrʒis;x;x;#NAME?
1;5;17;aus2;eepreeʒenajeeß;safe;l;?;12;1523aus2Ꞩarrghajieeß;123Ꞩarrghajieeß;x;x;#NAME?
3;5;25;peri;ſteidſeeß;unsafe;l;?;14;1517aus2eepreeʒenajeeß;117eepreeʒenajeeß;x;x;#NAME?
3;5;20;peri;ẜatʒijiß;safe;l;;9;3525periſteidſeeß;325ſteidſeeß;x;x;#NAME?
3;5;9;peri;ẜatʒjiß;safe;l;;8;3520periẜatʒijiß;320ẜatʒijiß;x;x;#NAME?
3;6;26;peri;ißghajuſchi;safe;l;;7;359periẜatʒjiß;39ẜatʒjiß;x;x;#NAME?
3;6;24;peri;nakuſchi;safe;l;;11;3626periißghajuſchi;326ißghajuſchi;x;x;#NAME?
1;6;4;aus2;ee⸗jahjis;safe;l;;8;3624perinakuſchi;324nakuſchi;x;x;#NAME?
2;6;24;aus2;attſtahjis;safe;l;;9;164aus2ee⸗jahjis;14ee⸗jahjis;x;x;#NAME?
1;6;1;aus2;darrijis;safe;l;;10;2624aus2attſtahjis;224attſtahjis;x;x;#NAME?
2;6;25;aus2;ais⸗mirrẜis;unsafe;l;;8;161aus2darrijis;11darrijis;x;x;#NAME?
3;6;19;peri;dewis;unsafe;l;;11;2625aus2ais⸗mirrẜis;225ais⸗mirrẜis;x;x;#NAME?
3;6;3;peri;na-ʒis;absolute_trash;l;;5;3619peridewis;319dewis;x;x;#NAME?
3;7;3;peri;ckuſchi;safe;l;;6;363perina-ʒis;33na-ʒis;x;x;#NAME?
3;7;22;aus1;nomirris;unsafe;l;;7;373perickuſchi;33ckuſchi;x;x;#NAME?
3;7;27;aus1;nomirris;unsafe;l;;8;3722aus1nomirris;322nomirris;x;x;#NAME?
3;7;21;aus1;ʒeetis;unsafe;l;?;8;3727aus1nomirris;327nomirris;x;x;#NAME?
1;7;12;aus2;nahʒis;unsafe;l;;6;3721aus1ʒeetis;321ʒeetis;x;x;#NAME?
3;7;5;peri;notitʒis;unsafe;l;;6;1712aus2nahʒis;112nahʒis;x;x;#NAME?
3;7;8;peri;abgherbeeß;unsafe;l;?;8;375perinotitʒis;35notitʒis;x;x;#NAME?
3;7;1;peri;ẜehdejiß;safe;l;;10;378periabgherbeeß;38abgherbeeß;x;x;#NAME?
3;7;22;aus1;ißlehjiß;safe;l;;8;371periẜehdejiß;31ẜehdejiß;x;x;#NAME?
3;7;1;peri;mahʒijiß;safe;l;;8;3722aus1ißlehjiß;322ißlehjiß;x;x;#NAME?
3;8;24;aus2;ehdis;unsafe;l;;8;371perimahʒijiß;31mahʒijiß;x;x;#NAME?
2;8;31;aus2;deis;unsafe;l;;5;3824aus2ehdis;324ehdis;x;x;#NAME?
3;8;21;aus2;ghajis;safe;l;;4;2831aus2deis;231deis;x;x;#NAME?
1;8;30;aus2;ißwehlejis;safe;l;;6;3821aus2ghajis;321ghajis;x;x;#NAME?
3;8;1;aus1;ẜataiſẜijis;safe;l;;10;1830aus2ißwehlejis;130ißwehlejis;x;x;#NAME?
3;8;25;aus2;ʒehlis;unsafe;l;;11;381aus1ẜataiſẜijis;31ẜataiſẜijis;x;x;#NAME?
3;8;14;aus1;notitʒis;unsafe;l;;6;3825aus2ʒehlis;325ʒehlis;x;x;#NAME?
3;8;11;aus1;darrijiß;safe;l;;8;3814aus1notitʒis;314notitʒis;x;x;#NAME?
3;8;9;aus1;attpeſtijiß;safe;l;;8;3811aus1darrijiß;311darrijiß;x;x;#NAME?
3;9;13;aus2;attſtahjuẜchi;safe;l;;11;389aus1attpeſtijiß;39attpeſtijiß;x;x;#NAME?
3;9;12;aus2;bijuſẜi;safe;l;;13;3913aus2attſtahjuẜchi;313attſtahjuẜchi;x;x;#NAME?
3;9;11;aus2;ißbijuſẜi;safe;l;;7;3912aus2bijuſẜi;312bijuſẜi;x;x;#NAME?
3;9;9;aus2;ißklieduſchas;safe;l;;9;3911aus2ißbijuſẜi;311ißbijuſẜi;x;x;#NAME?
3;9;5;aus2;ißklieduẜchas;safe;l;;13;399aus2ißklieduſchas;39ißklieduſchas;x;x;#NAME?
1;9;26;aus2;pawehlejis;safe;l;;13;395aus2ißklieduẜchas;35ißklieduẜchas;x;x;#NAME?
2;9;15;aus2;ẜuhtijis;safe;l;;10;1926aus2pawehlejis;126pawehlejis;x;x;#NAME?
3;9;1;aus2;ẜatʒijis;safe;l;;8;2915aus2ẜuhtijis;215ẜuhtijis;x;x;#NAME?
3;9;16;aus2;aisleedſis;unsafe;l;;8;391aus2ẜatʒijis;31ẜatʒijis;x;x;#NAME?
1;9;20;aus2;attnahʒis;unsafe;l;;10;3916aus2aisleedſis;316aisleedſis;x;x;#NAME?
3;9;2;aus2;taiẜeeß;unsafe;l;?;9;1920aus2attnahʒis;120attnahʒis;x;x;#NAME?
3;9;28;aus2;eeweddiß;unsafe;l;;7;392aus2taiẜeeß;32taiẜeeß;x;x;#NAME?
3;9;27;aus2;ghraͤkojiß;safe;l;;8;3928aus2eeweddiß;328eeweddiß;x;x;#NAME?
3;10;2;aus2;darrijuẜchi;safe;l;;10;3927aus2ghraͤkojiß;327ghraͤkojiß;x;x;#NAME?
3;10;6;aus2;mirruẜchi;safe;l;;11;3102aus2darrijuẜchi;32darrijuẜchi;x;x;#NAME?
3;10;4;aus2;ẜaliedſenajuſẜi;safe;l;;9;3106aus2mirruẜchi;36mirruẜchi;x;x;#NAME?
3;10;21;aus2;noſkummuſẜi;safe;l;;15;3104aus2ẜaliedſenajuſẜi;34ẜaliedſenajuſẜi;x;x;#NAME?
2;10;8;aus2;dſimbdenajis;safe;l;;11;31021aus2noſkummuſẜi;321noſkummuſẜi;x;x;#NAME?
2;10;11;aus2;dſimbdenajis;safe;l;;12;2108aus2dſimbdenajis;28dſimbdenajis;x;x;#NAME?
1;10;2;aus2;pawehlejis;safe;l;;12;21011aus2dſimbdenajis;211dſimbdenajis;x;x;#NAME?
1;10;9;aus2;pawehlejis;safe;l;;10;1102aus2pawehlejis;12pawehlejis;x;x;#NAME?
1;10;9;aus2;ẜohlijis;safe;l;;10;1109aus2pawehlejis;19pawehlejis;x;x;#NAME?
2;10;6;aus2;dſimmis;unsafe;l;;8;1109aus2ẜohlijis;19ẜohlijis;x;x;#NAME?
2;10;17;aus2;dſimmis;unsafe;l;;7;2106aus2dſimmis;26dſimmis;x;x;#NAME?
3;10;14;aus2;noſkummis;unsafe;l;;7;21017aus2dſimmis;217dſimmis;x;x;#NAME?
1;10;31;aus2;litʒis;unsafe;l;;9;31014aus2noſkummis;314noſkummis;x;x;#NAME?
3;10;31;aus2;litʒis;unsafe;l;;6;11031aus2litʒis;131litʒis;x;x;#NAME?
3;10;8;aus2;Attjaunajiß;safe;l;;6;31031aus2litʒis;331litʒis;x;x;#NAME?
2;11;22;aus2;pa⸗ẜudduẜchi;safe;u;;11;3108aus2Attjaunajiß;38Attjaunajiß;x;x;#NAME?
1;11;1;aus2;redſejuẜchi;safe;l;;12;21122aus2pa⸗ẜudduẜchi;222pa⸗ẜudduẜchi;x;x;#NAME?
3;11;6;aus2;ſtahwejuſẜi;safe;l;;11;1111aus2redſejuẜchi;11redſejuẜchi;x;x;#NAME?
3;11;11;aus2;ſkummuſẜi;safe;l;;11;3116aus2ſtahwejuſẜi;36ſtahwejuſẜi;x;x;#NAME?
1;11;23;aus2;aiʒenajis;safe;l;;9;31111aus2ſkummuſẜi;311ſkummuſẜi;x;x;#NAME?
2;11;21;aus2;raddijis;safe;l;;9;11123aus2aiʒenajis;123aiʒenajis;x;x;#NAME?
2;11;24;aus2;ẜuhtijis;safe;l;;8;21121aus2raddijis;221raddijis;x;x;#NAME?
2;11;16;aus2;mahʒijis;safe;l;;8;21124aus2ẜuhtijis;224ẜuhtijis;x;x;#NAME?
2;11;30;aus2;litʒis;unsafe;l;;8;21116aus2mahʒijis;216mahʒijis;x;x;#NAME?
3;11;9;aus2;turrejeeß;safe;l;?;6;21130aus2litʒis;230litʒis;x;x;#NAME?
2;11;16;aus2;rahdijeeß;safe;l;;9;3119aus2turrejeeß;39turrejeeß;x;x;#NAME?
1;11;19;aus2;ißraudſijeeß;safe;l;;9;21116aus2rahdijeeß;216rahdijeeß;x;x;#NAME?
1;11;3;aus2;usjehmeeß;unsafe;l;?;12;11119aus2ißraudſijeeß;119ißraudſijeeß;x;x;#NAME?
3;11;5;aus2;dſirrdejiß;safe;l;;9;1113aus2usjehmeeß;13usjehmeeß;x;x;#NAME?
3;11;12;aus2;nomannijiß;safe;l;;10;3115aus2dſirrdejiß;35dſirrdejiß;x;x;#NAME?
3;11;23;aus2;ẜatʒijiß;safe;l;;10;31112aus2nomannijiß;312nomannijiß;x;x;#NAME?
3;12;12;aus2;ſtahſtijuẜchi;safe;l;;8;31123aus2ẜatʒijiß;323ẜatʒijiß;x;x;#NAME?
3;12;17;aus2;ẜaiſtijuẜchi;safe;l;;13;31212aus2ſtahſtijuẜchi;312ſtahſtijuẜchi;x;x;#NAME?
3;12;17;aus2;jaͤmuẜchi;safe;l;;12;31217aus2ẜaiſtijuẜchi;317ẜaiſtijuẜchi;x;x;#NAME?
2;12;5;aus2;darrijis;safe;l;;9;31217aus2jaͤmuẜchi;317jaͤmuẜchi;x;x;#NAME?
2;12;8;aus2;iß⸗ſtahſtijis;safe;l;;8;2125aus2darrijis;25darrijis;x;x;#NAME?
3;12;15;aus2;peewielis;unsafe;l;;13;2128aus2iß⸗ſtahſtijis;28iß⸗ſtahſtijis;x;x;#NAME?
3;12;31;aus2;litʒis;unsafe;l;;9;31215aus2peewielis;315peewielis;x;x;#NAME?
3;12;15;aus2;notitʒis;unsafe;l;;6;31231aus2litʒis;331litʒis;x;x;#NAME?
3;12;8;aus2;mohdenajiß;safe;l;;8;31215aus2notitʒis;315notitʒis;x;x;#NAME?
3;12;3;aus2;usrunnajiß;safe;l;;10;3128aus2mohdenajiß;38mohdenajiß;x;x;#NAME?
3;12;9;aus2;rejiß;safe;l;;10;3123aus2usrunnajiß;33usrunnajiß;x;x;#NAME?
3;12;25;aus2;darrijiß;safe;l;;5;3129aus2rejiß;39rejiß;x;x;#NAME?
3;12;14;aus2;ʒeetiß;unsafe;l;?;8;31225aus2darrijiß;325darrijiß;x;x;#NAME?
3;13;17;aus2;Muẜchas;safe;l;;6;31214aus2ʒeetiß;314ʒeetiß;x;x;#NAME?
2;13;14;aus2;ẜuhtijis;safe;u;;7;31317aus2Muẜchas;317Muẜchas;x;x;#NAME?
2;13;30;aus2;ẜatʒijis;safe;l;;8;21314aus2ẜuhtijis;214ẜuhtijis;x;x;#NAME?
2;13;22;aus2;ſchkinkojis;safe;l;;8;21330aus2ẜatʒijis;230ẜatʒijis;x;x;#NAME?
2;13;20;aus2;ſchaͤlojis;safe;l;;11;21322aus2ſchkinkojis;222ſchkinkojis;x;x;#NAME?
2;13;24;aus2;pakahris;unsafe;l;;10;21320aus2ſchaͤlojis;220ſchaͤlojis;x;x;#NAME?
2;13;21;aus2;nodehwis;unsafe;l;;8;21324aus2pakahris;224pakahris;x;x;#NAME?
3;13;19;aus2;ißſprutʒis;unsafe;l;;8;21321aus2nodehwis;221nodehwis;x;x;#NAME?
3;13;1;aus2;aprunnajuſcheeß;safe;l;;10;31319aus2ißſprutʒis;319ißſprutʒis;x;x;#NAME?
3;13;13;aus2;daͤwuſẜeeß;safe;l;;15;3131aus2aprunnajuſcheeß;31aprunnajuſcheeß;x;x;#NAME?
2;14;2;aus2;darrijuſẜi;safe;l;;10;31313aus2daͤwuſẜeeß;313daͤwuſẜeeß;x;x;#NAME?
2;14;9;aus2;darrijis;safe;l;;10;2142aus2darrijuſẜi;22darrijuſẜi;x;x;#NAME?
3;14;21;aus2;litʒis;unsafe;l;;8;2149aus2darrijis;29darrijis;x;x;#NAME?
2;14;17;aus2;mahʒijeeß;safe;l;;6;31421aus2litʒis;321litʒis;x;x;#NAME?
3;14;20;aus2;warrejiß;safe;l;;9;21417aus2mahʒijeeß;217mahʒijeeß;x;x;#NAME?
3;14;27;aus2;ẜatʒijiß;safe;l;;8;31420aus2warrejiß;320warrejiß;x;x;#NAME?
1;15;16;aus2;pawehlejuſſchi;safe;l;;8;31427aus2ẜatʒijiß;327ẜatʒijiß;x;x;#NAME?
1;15;14;aus2;redſejuſſchi;safe;l;;14;11516aus2pawehlejuſſchi;116pawehlejuſſchi;x;x;#NAME?
1;15;15;aus2;titʒejuſẜchi;safe;l;;12;11514aus2redſejuſſchi;114redſejuſſchi;x;x;#NAME?
3;15;7;aus2;attradduẜchi;safe;l;;12;11515aus2titʒejuſẜchi;115titʒejuſẜchi;x;x;#NAME?
3;15;2;aus2;juẜchi;safe;l;;12;3157aus2attradduẜchi;37attradduẜchi;x;x;#NAME?
3;15;11;aus2;juẜchi;safe;l;;6;3152aus2juẜchi;32juẜchi;x;x;#NAME?
3;15;14;aus2;ẜakampuẜchi;safe;l;;6;31511aus2juẜchi;311juẜchi;x;x;#NAME?
3;15;9;aus2;nahkuſẜi;safe;l;;11;31514aus2ẜakampuẜchi;314ẜakampuẜchi;x;x;#NAME?
1;15;19;aus2;ẜaͤhdenajees;safe;l;;8;3159aus2nahkuſẜi;39nahkuſẜi;x;x;#NAME?
1;15;2;aus2;ẜluddenajis;safe;l;;12;11519aus2ẜaͤhdenajees;119ẜaͤhdenajees;x;x;#NAME?
1;15;10;aus2;paẜluddenajis;safe;l;;11;1152aus2ẜluddenajis;12ẜluddenajis;x;x;#NAME?
1;15;31;aus2;ſinnajis;safe;l;;13;11510aus2paẜluddenajis;110paẜluddenajis;x;x;#NAME?
1;15;28;aus2;turrejis;safe;l;;8;11531aus2ſinnajis;131ſinnajis;x;x;#NAME?
1;15;18;aus2;brauʒis;unsafe;l;;8;11528aus2turrejis;128turrejis;x;x;#NAME?
1;15;18;aus2;ʒehleeß;unsafe;l;?;7;11518aus2brauʒis;118brauʒis;x;x;#NAME?
3;15;6;aus2;ẜehdejiß;safe;l;;7;11518aus2ʒehleeß;118ʒehleeß;x;x;#NAME?
1;16;22;aus2;redſejuẜchi;safe;l;;8;3156aus2ẜehdejiß;36ẜehdejiß;x;x;#NAME?
3;16;2;aus2;Auẜi;safe;l;;11;11622aus2redſejuẜchi;122redſejuẜchi;x;x;#NAME?
1;16;1;aus2;paſļuddenajis;safe;u;;4;3162aus2Auẜi;32Auẜi;x;x;#NAME?
1;16;3;aus2;wehlejis;safe;l;;13;1161aus2paſļuddenajis;11paſļuddenajis;x;x;#NAME?
1;16;15;aus2;rahdijis;safe;l;;8;1163aus2wehlejis;13wehlejis;x;x;#NAME?
2;16;17;peri;dabbujis;safe;l;;8;11615aus2rahdijis;115rahdijis;x;x;#NAME?
2;16;18;peri;dabbujis;safe;l;;8;21617peridabbujis;217dabbujis;x;x;#NAME?
3;16;6;aus2;dewis;unsafe;l;;8;21618peridabbujis;218dabbujis;x;x;#NAME?
3;16;14;aus2;dewis;unsafe;l;;5;3166aus2dewis;36dewis;x;x;#NAME?
1;16;15;aus2;Dehwis;unsafe;l;;5;31614aus2dewis;314dewis;x;x;#NAME?
3;16;22;aus2;litʒis;unsafe;u;;6;11615aus2Dehwis;115Dehwis;x;x;#NAME?
2;16;12;peri;abſchaͤlojeeß;safe;l;?;6;31622aus2litʒis;322litʒis;x;x;#NAME?
3;16;32;aus2;peſtijiß;safe;l;;13;21612periabſchaͤlojeeß;212abſchaͤlojeeß;x;x;#NAME?
3;17;23;aus2;bijuſchas;safe;l;;8;31632aus2peſtijiß;332peſtijiß;x;x;#NAME?
3;17;30;aus2;bijuẜchas;safe;l;;9;31723aus2bijuſchas;323bijuſchas;x;x;#NAME?
3;17;28;aus2;redſejis;safe;l;;9;31730aus2bijuẜchas;330bijuẜchas;x;x;#NAME?
3;17;2;aus2;bijis;safe;l;;8;31728aus2redſejis;328redſejis;x;x;#NAME?
2;17;15;aus1;pa⸗rahdijis;safe;l;;5;3172aus2bijis;32bijis;x;x;#NAME?
2;17;16;aus1;ļojis;safe;l;;11;21715aus1pa⸗rahdijis;215pa⸗rahdijis;x;x;#NAME?
3;17;5;aus2;dſim-mis;absolute_trash;l;;5;21716aus1ļojis;216ļojis;x;x;#NAME?
1;17;22;aus2;noſkummis;unsafe;l;;8;3175aus2dſim-mis;35dſim-mis;x;x;#NAME?
1;17;25;aus2;noſkummis;unsafe;l;;9;11722aus2noſkummis;122noſkummis;x;x;#NAME?
1;17;23;aus2;nokahris;unsafe;l;;9;11725aus2noſkummis;125noſkummis;x;x;#NAME?
1;17;26;aus2;nomirris;unsafe;l;;8;11723aus2nokahris;123nokahris;x;x;#NAME?
3;17;8;aus2;ʒeetis;unsafe;l;?;8;11726aus2nomirris;126nomirris;x;x;#NAME?
3;17;22;aus2;ʒeetis;unsafe;l;?;6;3178aus2ʒeetis;38ʒeetis;x;x;#NAME?
2;17;11;aus1;mahʒijuẜcheeß;safe;l;;6;31722aus2ʒeetis;322ʒeetis;x;x;#NAME?
3;17;4;aus2;klahjeeß;safe;l;?;13;21711aus1mahʒijuẜcheeß;211mahʒijuẜcheeß;x;x;#NAME?
3;17;1;aus2;bijiß;safe;l;;8;3174aus2klahjeeß;34klahjeeß;x;x;#NAME?
3;17;28;aus2;peedſiwojiß;safe;l;;5;3171aus2bijiß;31bijiß;x;x;#NAME?
3;17;10;aus2;ʒeetiß;unsafe;l;?;11;31728aus2peedſiwojiß;328peedſiwojiß;x;x;#NAME?
3;17;17;aus2;ʒeetiß;unsafe;l;?;6;31710aus2ʒeetiß;310ʒeetiß;x;x;#NAME?
2;18;31;aus1;dſiewojuẜchi;safe;l;;6;31717aus2ʒeetiß;317ʒeetiß;x;x;#NAME?
2;18;10;aus1;naͤſẜuẜchi;safe;l;;12;21831aus1dſiewojuẜchi;231dſiewojuẜchi;x;x;#NAME?
1;18;19;aus2;daggajuſẜi;safe;l;;10;21810aus1naͤſẜuẜchi;210naͤſẜuẜchi;x;x;#NAME?
1;18;29;aus2;aisghrahbis;unsafe;l;;10;11819aus2daggajuſẜi;119daggajuſẜi;x;x;#NAME?
2;18;7;aus1;jis;trash;l;;11;11829aus2aisghrahbis;129aisghrahbis;x;x;#NAME?
1;18;24;aus2;peeẜatʒijis;safe;l;;3;2187aus1jis;27jis;x;x;#NAME?
1;18;28;aus2;ʒehlis;unsafe;l;;11;11824aus2peeẜatʒijis;124peeẜatʒijis;x;x;#NAME?
3;18;16;aus2;ʒeetis;unsafe;l;?;6;11828aus2ʒehlis;128ʒehlis;x;x;#NAME?
3;18;6;aus2;ißbijajuẜcheeß;safe;l;;6;31816aus2ʒeetis;316ʒeetis;x;x;#NAME?
3;18;7;aus2;ißbijajuſẜeeß;safe;l;;14;3186aus2ißbijajuẜcheeß;36ißbijajuẜcheeß;x;x;#NAME?
3;18;15;aus2;attſtahjiß;safe;l;;13;3187aus2ißbijajuſẜeeß;37ißbijajuſẜeeß;x;x;#NAME?
3;18;17;aus2;usraxtijiß;safe;l;;10;31815aus2attſtahjiß;315attſtahjiß;x;x;#NAME?
3;18;18;aus2;ẜatʒijiß;safe;l;;10;31817aus2usraxtijiß;317usraxtijiß;x;x;#NAME?
3;18;20;aus2;dſiewojiß;safe;l;;8;31818aus2ẜatʒijiß;318ẜatʒijiß;x;x;#NAME?
3;18;8;aus2;peekuſẜiß;unsafe;l;;9;31820aus2dſiewojiß;320dſiewojiß;x;x;#NAME?
2;19;25;aus2;naͤſẜajuẜchi;safe;l;;9;3188aus2peekuſẜiß;38peekuſẜiß;x;x;#NAME?
2;19;6;aus2;dſiewojuẜchi;safe;l;;12;21925aus2naͤſẜajuẜchi;225naͤſẜajuẜchi;x;x;#NAME?
2;19;7;aus2;mirruẜchi;safe;l;;12;2196aus2dſiewojuẜchi;26dſiewojuẜchi;x;x;#NAME?
3;19;25;aus2;ʒeetuẜchi;safe;l;;9;2197aus2mirruẜchi;27mirruẜchi;x;x;#NAME?
3;19;26;aus2;ʒeetuẜchi;safe;l;;9;31925aus2ʒeetuẜchi;325ʒeetuẜchi;x;x;#NAME?
1;19;28;aus2;daggajuſẜi;safe;l;;9;31926aus2ʒeetuẜchi;326ʒeetuẜchi;x;x;#NAME?
2;19;20;aus2;naͤſẜajis;safe;l;;10;11928aus2daggajuſẜi;128daggajuſẜi;x;x;#NAME?
2;19;8;aus2;bijis;safe;l;;9;21920aus2naͤſẜajis;220naͤſẜajis;x;x;#NAME?
2;19;9;aus2;bijis;safe;l;;5;2198aus2bijis;28bijis;x;x;#NAME?
1;19;2;aus2;darrijis;safe;l;;5;2199aus2bijis;29bijis;x;x;#NAME?
3;19;30;aus2;ißdſehris;unsafe;l;;8;1192aus2darrijis;12darrijis;x;x;#NAME?
3;19;17;aus2;ʒeetis;unsafe;l;?;9;31930aus2ißdſehris;330ißdſehris;x;x;#NAME?
1;19;21;aus2;litʒis;unsafe;l;;6;31917aus2ʒeetis;317ʒeetis;x;x;#NAME?
2;19;7;aus2;klahjeeß;safe;l;?;6;11921aus2litʒis;121litʒis;x;x;#NAME?
2;19;11;aus2;aptehrpeeß;unsafe;l;;8;2197aus2klahjeeß;27klahjeeß;x;x;#NAME?
3;19;9;aus2;nobahlejiß;safe;l;;10;21911aus2aptehrpeeß;211aptehrpeeß;x;x;#NAME?
3;20;4;aus2;pellnijuẜchi;safe;l;;10;3199aus2nobahlejiß;39nobahlejiß;x;x;#NAME?
1;20;2;aus2;nahkuſẜi;safe;l;;12;3204aus2pellnijuẜchi;34pellnijuẜchi;x;x;#NAME?
3;20;14;aus2;noſkummuſẜi;safe;l;;8;1202aus2nahkuſẜi;12nahkuſẜi;x;x;#NAME?
2;20;30;aus2;nopellnijis;safe;l;;11;32014aus2noſkummuſẜi;314noſkummuſẜi;x;x;#NAME?
2;20;23;aus2;ẜatʒijis;safe;l;;11;22030aus2nopellnijis;230nopellnijis;x;x;#NAME?
3;20;6;aus2;nhenoſeedſis;unsafe;l;;8;22023aus2ẜatʒijis;223ẜatʒijis;x;x;#NAME?
2;20;17;aus2;Jemmeeß;unsafe;l;?;12;3206aus2nhenoſeedſis;36nhenoſeedſis;x;x;#NAME?
2;20;29;aus2;attminneeß;unsafe;u;;7;22017aus2Jemmeeß;217Jemmeeß;x;x;#NAME?
3;20;9;aus2;nomaxajiß;safe;l;;10;22029aus2attminneeß;229attminneeß;x;x;#NAME?
3;20;19;aus2;paliedſejiß;safe;l;;9;3209aus2nomaxajiß;39nomaxajiß;x;x;#NAME?
3;20;18;aus2;bi-jiß;absolute_trash;l;;11;32019aus2paliedſejiß;319paliedſejiß;x;x;#NAME?
3;20;11;aus2;darrijiß;safe;l;;6;32018aus2bi-jiß;318bi-jiß;x;x;#NAME?
3;20;23;aus2;darrijiß;safe;l;;8;32011aus2darrijiß;311darrijiß;x;x;#NAME?
2;21;17;aus2;nahkuẜchi;safe;l;;8;32023aus2darrijiß;323darrijiß;x;x;#NAME?
2;21;19;aus2;Vsmohdis;unsafe;l;;9;22117aus2nahkuẜchi;217nahkuẜchi;x;x;#NAME?
3;21;24;aus2;krahjis;safe;u;;8;22119aus2Vsmohdis;219Vsmohdis;x;x;#NAME?
3;21;12;aus2;bijis;safe;l;;7;32124aus2krahjis;324krahjis;x;x;#NAME?
